"Participant","QuestionType","Topic","QuestionID","Condition","MIST"
"k320cnq7w9","fake","covid","2","Pretest",42
"k320cnq7w9","real","general","3","Pretest",37
"k320cnq7w9","real","general","31","Pretest",38
"k320cnq7w9","real","covid","7","Pretest",39
"k320cnq7w9","fake","general","18","Pretest",37
"k320cnq7w9","real","general","25","Pretest",60
"k320cnq7w9","real","general","5","Pretest",39
"k320cnq7w9","fake","general","16","Pretest",60
"k320cnq7w9","real","general","19","Pretest",56
"k320cnq7w9","real","covid","4","Pretest",56
"k320cnq7w9","fake","general","1","Pretest",63
"k320cnq7w9","real","covid","2","Pretest",54
"k320cnq7w9","real","general","22","Pretest",40
"k320cnq7w9","real","general","2","Pretest",55
"k320cnq7w9","fake","covid","7","Pretest",55
"k320cnq7w9","real","general","14","Pretest",55
"k320cnq7w9","fake","general","29","Pretest",54
"k320cnq7w9","real","general","26","Pretest",55
"k320cnq7w9","fake","general","9","Pretest",57
"k320cnq7w9","real","general","27","Pretest",55
"k320cnq7w9","fake","general","2","Posttest",74
"k320cnq7w9","real","general","20","Posttest",69
"k320cnq7w9","fake","general","11","Posttest",30
"k320cnq7w9","real","general","6","Posttest",34
"k320cnq7w9","fake","covid","10","Posttest",24
"k320cnq7w9","fake","general","6","Posttest",34
"k320cnq7w9","real","general","4","Posttest",38
"k320cnq7w9","real","general","29","Posttest",31
"k320cnq7w9","real","general","8","Posttest",39
"k320cnq7w9","fake","general","3","Posttest",38
"k320cnq7w9","fake","covid","3","Posttest",68
"k320cnq7w9","real","covid","6","Posttest",58
"k320cnq7w9","fake","general","30","Posttest",40
"k320cnq7w9","fake","general","26","Posttest",59
"k320cnq7w9","fake","general","5","Posttest",58
"k320cnq7w9","real","general","18","Posttest",57
"k320cnq7w9","real","general","10","Posttest",58
"k320cnq7w9","fake","covid","5","Posttest",43
"k320cnq7w9","real","general","17","Posttest",59
"k320cnq7w9","real","covid","1","Posttest",58
"k320cnq7w9","real","covid","5","Posttest",56
"k320cnq7w9","fake","general","8","Posttest",58
"k320cnq7w9","fake","general","25","Posttest",40
"k320cnq7w9","fake","general","21","Posttest",41
"k320cnq7w9","fake","general","15","Posttest",44
"k320cnq7w9","real","general","21","Posttest",39
"k320cnq7w9","fake","general","14","Posttest",39
"k320cnq7w9","fake","covid","6","Posttest",40
"k320cnq7w9","fake","general","27","Posttest",71
"k320cnq7w9","real","general","23","Posttest",37
"k320cnq7w9","real","general","1","Posttest",41
"k320cnq7w9","real","general","16","Posttest",34
"k320cnq7w9","real","general","15","Posttest",45
"k320cnq7w9","fake","general","17","Posttest",39
"k320cnq7w9","real","covid","3","Posttest",56
"k320cnq7w9","real","general","7","Posttest",54
"k320cnq7w9","real","covid","10","Posttest",56
"k320cnq7w9","real","general","12","Posttest",49
"k320cnq7w9","fake","covid","4","Posttest",40
"k320cnq7w9","real","general","11","Posttest",41
"k320cnq7w9","fake","general","10","Posttest",45
"f6w3h4a9sf","fake","covid","4","Pretest",0
"f6w3h4a9sf","real","general","9","Pretest",0
"f6w3h4a9sf","fake","general","2","Pretest",0
"f6w3h4a9sf","real","general","18","Pretest",0
"f6w3h4a9sf","fake","general","12","Pretest",0
"f6w3h4a9sf","fake","general","30","Pretest",0
"f6w3h4a9sf","real","general","24","Pretest",0
"f6w3h4a9sf","fake","general","4","Pretest",0
"f6w3h4a9sf","fake","covid","3","Pretest",0
"f6w3h4a9sf","real","general","25","Pretest",0
"f6w3h4a9sf","real","covid","3","Pretest",0
"f6w3h4a9sf","fake","general","20","Pretest",0
"f6w3h4a9sf","real","general","5","Pretest",0
"f6w3h4a9sf","fake","general","25","Pretest",0
"f6w3h4a9sf","real","covid","8","Pretest",0
"f6w3h4a9sf","real","general","8","Pretest",0
"f6w3h4a9sf","fake","general","3","Pretest",0
"f6w3h4a9sf","fake","covid","1","Pretest",0
"f6w3h4a9sf","real","covid","1","Pretest",0
"f6w3h4a9sf","fake","general","1","Pretest",0
"f6w3h4a9sf","fake","general","11","Pretest",0
"f6w3h4a9sf","real","general","6","Pretest",0
"f6w3h4a9sf","fake","general","22","Pretest",0
"f6w3h4a9sf","real","covid","5","Pretest",0
"f6w3h4a9sf","real","general","22","Pretest",0
"f6w3h4a9sf","fake","covid","9","Pretest",0
"f6w3h4a9sf","real","general","14","Pretest",0
"f6w3h4a9sf","fake","general","15","Pretest",50
"f6w3h4a9sf","real","general","10","Pretest",0
"f6w3h4a9sf","real","covid","10","Pretest",50
"f6w3h4a9sf","fake","general","19","Pretest",100
"f6w3h4a9sf","fake","general","16","Pretest",0
"f6w3h4a9sf","real","general","1","Pretest",0
"f6w3h4a9sf","fake","covid","10","Pretest",50
"f6w3h4a9sf","real","general","13","Pretest",0
"f6w3h4a9sf","real","general","4","Pretest",0
"f6w3h4a9sf","real","general","28","Pretest",100
"f6w3h4a9sf","fake","general","14","Pretest",0
"f6w3h4a9sf","fake","general","6","Pretest",0
"f6w3h4a9sf","real","general","31","Pretest",0
"f6w3h4a9sf","fake","covid","6","Posttest",100
"f6w3h4a9sf","real","general","3","Posttest",0
"f6w3h4a9sf","fake","general","10","Posttest",0
"f6w3h4a9sf","real","general","12","Posttest",0
"f6w3h4a9sf","real","covid","2","Posttest",0
"f6w3h4a9sf","fake","general","17","Posttest",0
"f6w3h4a9sf","real","general","27","Posttest",50
"f6w3h4a9sf","fake","covid","7","Posttest",0
"f6w3h4a9sf","fake","general","13","Posttest",50
"f6w3h4a9sf","fake","general","29","Posttest",0
"f6w3h4a9sf","real","covid","7","Posttest",0
"f6w3h4a9sf","fake","general","24","Posttest",0
"f6w3h4a9sf","fake","general","28","Posttest",0
"f6w3h4a9sf","real","covid","6","Posttest",0
"f6w3h4a9sf","real","general","20","Posttest",50
"f6w3h4a9sf","fake","general","5","Posttest",0
"f6w3h4a9sf","real","general","11","Posttest",0
"f6w3h4a9sf","fake","general","9","Posttest",0
"f6w3h4a9sf","real","general","23","Posttest",0
"f6w3h4a9sf","real","general","30","Posttest",49
"f6w3h4a9sf","fake","covid","2","Posttest",50
"f6w3h4a9sf","fake","covid","5","Posttest",0
"f6w3h4a9sf","real","general","21","Posttest",50
"f6w3h4a9sf","fake","general","23","Posttest",0
"f6w3h4a9sf","fake","general","26","Posttest",0
"f6w3h4a9sf","real","general","7","Posttest",0
"f6w3h4a9sf","real","general","17","Posttest",50
"f6w3h4a9sf","fake","general","21","Posttest",0
"f6w3h4a9sf","fake","general","18","Posttest",0
"f6w3h4a9sf","real","general","19","Posttest",50
"f6w3h4a9sf","real","general","16","Posttest",100
"f6w3h4a9sf","real","general","2","Posttest",0
"f6w3h4a9sf","real","general","26","Posttest",50
"f6w3h4a9sf","fake","covid","8","Posttest",50
"f6w3h4a9sf","real","covid","4","Posttest",0
"f6w3h4a9sf","real","general","29","Posttest",0
"f6w3h4a9sf","fake","general","27","Posttest",50
"f6w3h4a9sf","fake","general","8","Posttest",0
"f6w3h4a9sf","real","covid","9","Posttest",50
"f6w3h4a9sf","real","general","15","Posttest",50
"f6w3h4a9sf","fake","general","7","Posttest",0
"464kbygen5","real","general","24","Pretest",100
"464kbygen5","real","general","6","Pretest",100
"464kbygen5","fake","general","15","Pretest",0
"464kbygen5","fake","general","12","Pretest",75
"464kbygen5","fake","general","28","Pretest",0
"464kbygen5","fake","general","29","Pretest",0
"464kbygen5","real","general","20","Pretest",88
"464kbygen5","real","covid","7","Pretest",100
"464kbygen5","real","covid","6","Pretest",100
"464kbygen5","real","general","19","Pretest",50
"464kbygen5","real","general","31","Pretest",84
"464kbygen5","real","general","7","Pretest",0
"464kbygen5","real","general","4","Pretest",61
"464kbygen5","real","general","3","Pretest",73
"464kbygen5","real","general","11","Pretest",0
"464kbygen5","real","general","13","Pretest",75
"464kbygen5","real","covid","10","Pretest",100
"464kbygen5","fake","general","21","Pretest",0
"464kbygen5","fake","general","1","Pretest",0
"464kbygen5","fake","covid","8","Pretest",0
"464kbygen5","fake","general","23","Pretest",0
"464kbygen5","fake","general","10","Pretest",100
"464kbygen5","real","covid","4","Pretest",100
"464kbygen5","real","general","27","Pretest",78
"464kbygen5","real","general","10","Pretest",0
"464kbygen5","real","general","25","Pretest",91
"464kbygen5","fake","general","14","Pretest",59
"464kbygen5","real","general","14","Pretest",0
"464kbygen5","real","covid","2","Pretest",100
"464kbygen5","fake","general","7","Pretest",0
"464kbygen5","fake","covid","2","Pretest",23
"464kbygen5","fake","general","30","Pretest",0
"464kbygen5","real","general","29","Pretest",85
"464kbygen5","fake","covid","3","Pretest",100
"464kbygen5","fake","general","26","Pretest",0
"464kbygen5","fake","covid","9","Pretest",88
"464kbygen5","fake","general","8","Pretest",0
"464kbygen5","fake","covid","1","Pretest",100
"464kbygen5","fake","general","24","Pretest",0
"464kbygen5","fake","general","18","Pretest",0
"464kbygen5","real","covid","9","Posttest",100
"464kbygen5","fake","general","25","Posttest",0
"464kbygen5","real","general","26","Posttest",84
"464kbygen5","fake","general","6","Posttest",0
"464kbygen5","fake","general","16","Posttest",0
"464kbygen5","fake","general","20","Posttest",0
"464kbygen5","real","general","17","Posttest",100
"464kbygen5","real","general","15","Posttest",78
"464kbygen5","real","general","2","Posttest",0
"464kbygen5","real","covid","1","Posttest",0
"464kbygen5","fake","covid","4","Posttest",0
"464kbygen5","real","general","18","Posttest",100
"464kbygen5","real","general","21","Posttest",68
"464kbygen5","real","general","22","Posttest",58
"464kbygen5","fake","general","11","Posttest",0
"464kbygen5","fake","general","17","Posttest",0
"464kbygen5","real","general","9","Posttest",0
"464kbygen5","real","general","12","Posttest",0
"464kbygen5","real","general","5","Posttest",100
"464kbygen5","fake","general","9","Posttest",0
"464kbygen5","fake","general","5","Posttest",0
"464kbygen5","fake","general","13","Posttest",0
"464kbygen5","real","general","28","Posttest",96
"464kbygen5","real","general","16","Posttest",100
"464kbygen5","fake","covid","5","Posttest",100
"464kbygen5","fake","general","3","Posttest",0
"464kbygen5","fake","covid","7","Posttest",100
"464kbygen5","fake","covid","10","Posttest",66
"464kbygen5","fake","general","2","Posttest",0
"464kbygen5","real","covid","3","Posttest",100
"464kbygen5","real","general","1","Posttest",100
"464kbygen5","real","general","23","Posttest",100
"464kbygen5","fake","covid","6","Posttest",100
"464kbygen5","fake","general","22","Posttest",0
"464kbygen5","fake","general","19","Posttest",0
"464kbygen5","real","general","30","Posttest",34
"464kbygen5","fake","general","4","Posttest",0
"464kbygen5","fake","general","27","Posttest",0
"464kbygen5","real","general","8","Posttest",0
"464kbygen5","real","covid","5","Posttest",100
"464kbygen5","real","covid","8","Posttest",100
"ruw76lyn49","fake","general","9","Pretest",0
"ruw76lyn49","fake","general","7","Pretest",0
"ruw76lyn49","real","general","20","Pretest",0
"ruw76lyn49","fake","general","24","Pretest",2
"ruw76lyn49","real","general","1","Pretest",37
"ruw76lyn49","fake","general","17","Pretest",24
"ruw76lyn49","fake","covid","1","Pretest",27
"ruw76lyn49","fake","general","30","Pretest",28
"ruw76lyn49","fake","general","23","Pretest",4
"ruw76lyn49","real","covid","10","Pretest",31
"ruw76lyn49","real","general","24","Pretest",37
"ruw76lyn49","fake","general","18","Pretest",0
"ruw76lyn49","real","general","25","Pretest",32
"ruw76lyn49","real","general","12","Pretest",38
"ruw76lyn49","real","general","10","Pretest",26
"ruw76lyn49","fake","general","22","Pretest",39
"ruw76lyn49","real","covid","2","Pretest",38
"ruw76lyn49","real","general","8","Pretest",0
"ruw76lyn49","fake","covid","2","Pretest",0
"ruw76lyn49","real","general","28","Pretest",0
"ruw76lyn49","real","covid","9","Pretest",0
"ruw76lyn49","fake","general","28","Pretest",23
"ruw76lyn49","real","general","9","Pretest",1
"ruw76lyn49","real","general","27","Pretest",26
"ruw76lyn49","real","covid","6","Pretest",28
"ruw76lyn49","fake","general","4","Pretest",63
"ruw76lyn49","fake","covid","7","Pretest",30
"ruw76lyn49","fake","covid","4","Pretest",0
"ruw76lyn49","fake","general","10","Pretest",31
"ruw76lyn49","fake","covid","3","Pretest",32
"ruw76lyn49","real","general","2","Pretest",37
"ruw76lyn49","real","general","3","Pretest",30
"ruw76lyn49","real","general","31","Pretest",31
"ruw76lyn49","fake","general","27","Pretest",0
"ruw76lyn49","real","covid","3","Pretest",19
"ruw76lyn49","fake","general","26","Pretest",29
"ruw76lyn49","fake","general","25","Pretest",30
"ruw76lyn49","real","general","18","Pretest",33
"ruw76lyn49","real","general","13","Pretest",23
"ruw76lyn49","fake","general","21","Pretest",37
"ruw76lyn49","real","general","6","Posttest",12
"ruw76lyn49","fake","covid","9","Posttest",15
"ruw76lyn49","real","general","19","Posttest",0
"ruw76lyn49","fake","general","29","Posttest",0
"ruw76lyn49","fake","general","20","Posttest",0
"ruw76lyn49","fake","general","1","Posttest",0
"ruw76lyn49","real","general","23","Posttest",0
"ruw76lyn49","fake","general","12","Posttest",0
"ruw76lyn49","fake","covid","5","Posttest",0
"ruw76lyn49","real","general","21","Posttest",0
"ruw76lyn49","real","general","5","Posttest",0
"ruw76lyn49","fake","general","6","Posttest",0
"ruw76lyn49","real","general","14","Posttest",0
"ruw76lyn49","fake","covid","10","Posttest",0
"ruw76lyn49","fake","general","11","Posttest",0
"ruw76lyn49","real","general","16","Posttest",0
"ruw76lyn49","fake","general","3","Posttest",0
"ruw76lyn49","fake","general","15","Posttest",0
"ruw76lyn49","real","covid","4","Posttest",0
"ruw76lyn49","real","general","17","Posttest",0
"ruw76lyn49","fake","general","16","Posttest",0
"ruw76lyn49","fake","general","13","Posttest",0
"ruw76lyn49","real","covid","8","Posttest",0
"ruw76lyn49","fake","covid","8","Posttest",0
"ruw76lyn49","fake","general","14","Posttest",0
"ruw76lyn49","fake","covid","6","Posttest",0
"ruw76lyn49","real","general","29","Posttest",0
"ruw76lyn49","fake","general","2","Posttest",0
"ruw76lyn49","fake","general","5","Posttest",0
"ruw76lyn49","real","covid","7","Posttest",0
"ruw76lyn49","real","general","4","Posttest",0
"ruw76lyn49","fake","general","8","Posttest",0
"ruw76lyn49","real","general","15","Posttest",0
"ruw76lyn49","real","covid","1","Posttest",0
"ruw76lyn49","real","general","11","Posttest",0
"ruw76lyn49","real","general","26","Posttest",0
"ruw76lyn49","real","general","7","Posttest",0
"ruw76lyn49","fake","general","19","Posttest",0
"ruw76lyn49","real","covid","5","Posttest",0
"ruw76lyn49","real","general","30","Posttest",0
"ruw76lyn49","real","general","22","Posttest",0
"vqzpa3nr5a","fake","general","22","Pretest",40
"vqzpa3nr5a","fake","general","25","Pretest",22
"vqzpa3nr5a","fake","general","5","Pretest",63
"vqzpa3nr5a","real","general","2","Pretest",70
"vqzpa3nr5a","fake","general","10","Pretest",71
"vqzpa3nr5a","real","general","18","Pretest",70
"vqzpa3nr5a","fake","general","6","Pretest",52
"vqzpa3nr5a","real","general","20","Pretest",58
"vqzpa3nr5a","real","general","16","Pretest",60
"vqzpa3nr5a","real","general","21","Pretest",61
"vqzpa3nr5a","fake","general","14","Pretest",39
"vqzpa3nr5a","real","general","23","Pretest",80
"vqzpa3nr5a","fake","general","7","Pretest",0
"vqzpa3nr5a","real","general","13","Pretest",0
"vqzpa3nr5a","fake","covid","9","Pretest",60
"vqzpa3nr5a","fake","covid","6","Pretest",26
"vqzpa3nr5a","fake","general","9","Pretest",0
"vqzpa3nr5a","real","general","1","Pretest",54
"vqzpa3nr5a","fake","general","13","Pretest",4
"vqzpa3nr5a","fake","covid","7","Pretest",60
"vqzpa3nr5a","real","general","10","Pretest",64
"vqzpa3nr5a","real","covid","10","Pretest",73
"vqzpa3nr5a","real","general","17","Pretest",72
"vqzpa3nr5a","real","covid","5","Pretest",65
"vqzpa3nr5a","fake","covid","4","Pretest",0
"vqzpa3nr5a","real","covid","2","Pretest",66
"vqzpa3nr5a","fake","general","29","Pretest",52
"vqzpa3nr5a","real","covid","7","Pretest",59
"vqzpa3nr5a","real","covid","8","Pretest",76
"vqzpa3nr5a","fake","general","11","Pretest",24
"vqzpa3nr5a","fake","covid","10","Pretest",40
"vqzpa3nr5a","fake","general","19","Pretest",55
"vqzpa3nr5a","real","general","12","Pretest",0
"vqzpa3nr5a","fake","general","23","Pretest",0
"vqzpa3nr5a","real","general","28","Pretest",56
"vqzpa3nr5a","fake","general","28","Pretest",14
"vqzpa3nr5a","real","general","14","Pretest",0
"vqzpa3nr5a","fake","general","18","Pretest",59
"vqzpa3nr5a","real","general","9","Pretest",0
"vqzpa3nr5a","real","general","22","Pretest",61
"vqzpa3nr5a","real","general","5","Posttest",57
"vqzpa3nr5a","real","general","11","Posttest",0
"vqzpa3nr5a","fake","covid","8","Posttest",57
"vqzpa3nr5a","fake","general","21","Posttest",40
"vqzpa3nr5a","fake","covid","1","Posttest",58
"vqzpa3nr5a","real","general","27","Posttest",55
"vqzpa3nr5a","real","covid","6","Posttest",58
"vqzpa3nr5a","fake","general","4","Posttest",40
"vqzpa3nr5a","real","general","8","Posttest",41
"vqzpa3nr5a","fake","general","16","Posttest",0
"vqzpa3nr5a","real","general","26","Posttest",34
"vqzpa3nr5a","real","general","4","Posttest",31
"vqzpa3nr5a","real","covid","4","Posttest",61
"vqzpa3nr5a","fake","general","3","Posttest",0
"vqzpa3nr5a","real","general","29","Posttest",73
"vqzpa3nr5a","fake","general","24","Posttest",3
"vqzpa3nr5a","fake","general","1","Posttest",0
"vqzpa3nr5a","real","covid","1","Posttest",56
"vqzpa3nr5a","real","general","24","Posttest",61
"vqzpa3nr5a","fake","general","2","Posttest",3
"vqzpa3nr5a","real","general","25","Posttest",62
"vqzpa3nr5a","real","covid","3","Posttest",66
"vqzpa3nr5a","fake","general","20","Posttest",6
"vqzpa3nr5a","real","general","7","Posttest",0
"vqzpa3nr5a","real","general","3","Posttest",61
"vqzpa3nr5a","fake","covid","3","Posttest",79
"vqzpa3nr5a","fake","general","26","Posttest",10
"vqzpa3nr5a","fake","covid","2","Posttest",0
"vqzpa3nr5a","fake","general","17","Posttest",0
"vqzpa3nr5a","fake","general","27","Posttest",0
"vqzpa3nr5a","real","general","6","Posttest",63
"vqzpa3nr5a","fake","general","30","Posttest",0
"vqzpa3nr5a","fake","general","12","Posttest",10
"vqzpa3nr5a","fake","covid","5","Posttest",100
"vqzpa3nr5a","real","covid","9","Posttest",63
"vqzpa3nr5a","fake","general","15","Posttest",0
"vqzpa3nr5a","real","general","19","Posttest",59
"vqzpa3nr5a","real","general","31","Posttest",39
"vqzpa3nr5a","real","general","15","Posttest",57
"vqzpa3nr5a","real","general","30","Posttest",76
"vqzpa3nr5a","fake","general","8","Posttest",0
"uc0u68m518","fake","general","5","Pretest",0
"uc0u68m518","real","general","3","Pretest",80
"uc0u68m518","fake","general","17","Pretest",0
"uc0u68m518","real","general","6","Pretest",89
"uc0u68m518","real","general","30","Pretest",30
"uc0u68m518","fake","general","19","Pretest",0
